"Vendor	Name",,
"1	Fry's Electronics",,
"2	Ingram",,
"3	Club Mac",,
"4	Nebraska Furniture Mart",,
"83	Planex",,
"121	DragonRise Inc.",,
"261	Trust International B.V.",,
"325	Unknown",,
"516	Chipsbank Microelectronics Co.", Ltd,
"536	Hangzhou Worlde",,
"685	HUMAX Co.", Ltd.,
"768	MM300 eBook Reader",,
"804	OCZ Technology Inc",,
"805	OCZ Technology Inc",,
"902	LTS",,
"986	Bernd Walter Computer Technology",,
"1000	EndPoints", Inc.,
"1001	Thesys Microelectronics",,
"1002	Data Broadcasting Corp.",,
"1003	Atmel Corp.",,
"1004	Iwatsu America", Inc.,
"1005	Mitel Corp.",,
"1006	Mitsumi",,
"1008	Hewlett-Packard",,
"1009	Genoa Technology",,
"1010	Oak Technology", Inc.,
"1011	Adaptec", Inc.,
"1012	Diebold", Inc.,
"1013	Siemens Electromechanical",,
"1016	Epson Imaging Technology Center",,
"1017	KeyTronic Corp.",,
"1019	OPTi", Inc.,
"1020	Elitegroup Computer Systems",,
"1021	Xilinx", Inc.,
"1022	Farallon Comunications",,
"1024	National Semiconductor Corp.",,
"1025	National Registry", Inc.,
"1026	ALi Corp.",,
"1027	Future Technology Devices International", Ltd,
"1028	NCR Corp.",,
"1029	Synopsys", Inc.,
"1030	Fujitsu-ICL Computers",,
"1031	Fujitsu Personal Systems", Inc.,
"1032	Quanta Computer", Inc.,
"1033	NEC Corp.",,
"1034	Kodak Co.",,
"1035	Weltrend Semiconductor",,
"1036	VTech Computers", Ltd,
"1037	VIA Technologies", Inc.,
"1038	MCCI",,
"1039	Echo Speech Corp.",,
"1041	BUFFALO INC. (formerly MelCo.", Inc.),
"1042	Award Software International",,
"1043	Leadtek Research", Inc.,
"1044	Giga-Byte Technology Co.", Ltd,
"1046	Winbond Electronics Corp.",,
"1047	Symbios Logic",,
"1048	AST Research",,
"1049	Samsung Info. Systems America", Inc.,
"1050	Phoenix Technologies", Ltd,
"1051	d'TV",,
"1053	S3", Inc.,
"1054	Creative Technology", Ltd,
"1055	LCS Telegraphics",,
"1056	Chips and Technologies",,
"1057	Nokia Mobile Phones",,
"1058	ADI Systems", Inc.,
"1059	Computer Access Technology Corp.",,
"1060	Standard Microsystems Corp.",,
"1061	Motorola Semiconductors HK", Ltd,
"1062	Integrated Device Technology", Inc.,
"1063	Motorola Electronics Taiwan", Ltd,
"1064	Advanced Gravis Computer Tech", Ltd,
"1065	Cirrus Logic",,
"1066	Ericsson Austrian", AG,
"1067	Intel Corp.",,
"1068	Innovative Semiconductors", Inc.,
"1069	Micronics",,
"1070	Acer", Inc.,
"1071	Molex", Inc.,
"1072	Sun Microsystems", Inc.,
"1073	Itac Systems", Inc.,
"1074	Unisys Corp.",,
"1075	Alps Electric", Inc.,
"1076	Samsung Info. Systems America", Inc.,
"1077	Hyundai Electronics America",,
"1078	Taugagreining HF",,
"1079	Framatome Connectors USA",,
"1080	Advanced Micro Devices", Inc.,
"1081	Voice Technologies Group",,
"1085	Lexmark International", Inc.,
"1086	LG Electronics USA", Inc.,
"1087	RadiSys Corp.",,
"1088	Eizo Nanao Corp.",,
"1089	Winbond Systems Lab.",,
"1090	Ericsson", Inc.,
"1091	Gateway", Inc.,
"1093	Lucent Technologies", Inc.,
"1094	NMB Technologies Corp.",,
"1095	Momentum Microsystems",,
"1098	Shamrock Tech. Co.", Ltd,
"1099	WSI",,
"1100	CCL/ITRI",,
"1101	Siemens Nixdorf AG",,
"1102	Alps Electric Co.", Ltd,
"1103	ThrustMaster", Inc.,
"1104	DFI", Inc.,
"1105	Texas Instruments", Inc.,
"1106	Mitsubishi Electronics America", Inc.,
"1107	CMD Technology",,
"1108	Vobis Microcomputer AG",,
"1109	Telematics International", Inc.,
"1110	Analog Devices", Inc.,
"1111	Silicon Integrated Systems Corp.",,
"1112	KYE Systems Corp. (Mouse Systems)",,
"1113	Adobe Systems", Inc.,
"1114	SONICblue", Inc.,
"1115	Hitachi", Ltd,
"1117	Nortel Networks", Ltd,
"1118	Microsoft Corp.",,
